"","NOC","Year","NumAthletes","PctFemale","AvgAge","AvgHeight","AvgWeight","AvgOlympicExp","PctAchievPrevGames","PctPastMedals","Target"
"1","AFG","1936","15","0","24.2142857142857","","","1","0","0","0"
"2","AFG","1948","25","0","","","","1","0","0","0"
"3","AFG","1956","12","0","","","","1.5","0","0","0"
"4","AFG","1960","12","0","24.1666666666667","169.666666666667","71","1","0","0","0"
"5","AFG","1964","8","0","22","161","64.25","1.125","0","0","0"
"6","AFG","1968","5","0","23.2","170.2","70","1.2","0","0","0"
"7","AFG","1972","8","0","29","168.333333333333","63.75","1.75","0","0","0"
"8","AFG","1980","11","0","23.6363636363636","168.363636363636","63.1818181818182","1","0","0","0"
"9","AFG","1988","5","0","","","","1","0","0","0"
"10","AFG","1996","2","0","23.5","","","1","0","0","0"
"11","AFG","2004","5","0.4","18.6","170.75","64.75","1","0","0","0"
"12","AFG","2008","4","0.25","22.5","179.25","62.75","1.5","0","0","0.25"
"13","AFG","2012","6","0.166666666666667","24.8333333333333","171.666666666667","60.8333333333333","1.66666666666667","0.166666666666667","0.166666666666667","0.166666666666667"
"14","AHO","1952","11","0","23.0909090909091","","","1","0","0","0"
"15","AHO","1960","5","0","26.2","170.2","83.8","1","0","0","0"
"16","AHO","1964","4","0","28.5","171.25","69.25","1.5","0","0","0"
"17","AHO","1968","5","0.4","31","173.2","67.8","1.8","0","0","0"
"18","AHO","1972","2","0","38.5","164","86","1","0","0","0"
"19","AHO","1976","4","0","27.3333333333333","174.5","66","1","0","0","0"
"20","AHO","1984","8","0.625","18.25","178.5","67.6666666666667","1","0","0","0"
"21","AHO","1988","3","0.333333333333333","26.6666666666667","193","80","1.33333333333333","0","0","0.333333333333333"
"22","AHO","1992","4","0.25","30.25","178","83.5","1","0","0","0"
"23","AHO","1996","6","0","29.3333333333333","180.333333333333","82","1.33333333333333","0","0","0"
"24","AHO","2000","7","0.142857142857143","31.8571428571429","178.428571428571","78.5714285714286","1.71428571428571","0","0","0"
"25","AHO","2004","3","0","32.3333333333333","183.666666666667","80","2","0","0","0"
"26","AHO","2008","3","0","22.6666666666667","178.333333333333","74","1.33333333333333","0","0","0"
"27","ALB","1972","5","0.2","26.8","","59","1","0","0","0"
"28","ALB","1992","7","0.285714285714286","26.5714285714286","163","75.25","1","0","0","0"
"29","ALB","1996","7","0.571428571428571","25.5714285714286","171.285714285714","71.1428571428571","1.14285714285714","0","0","0"
"30","ALB","2000","4","0.5","29","170","65.5","1.5","0","0","0"
"31","ALB","2004","7","0.285714285714286","20.8571428571429","172.285714285714","70.7142857142857","1.14285714285714","0","0","0"
"32","ALB","2008","11","0.363636363636364","25.5454545454545","173.727272727273","74.6363636363636","1.54545454545455","0","0","0"
"33","ALB","2012","9","0.333333333333333","23.6666666666667","176","78.5555555555556","1.22222222222222","0","0","0"
"34","ALG","1964","1","0","26","175","65","2","0","0","0"
"35","ALG","1968","3","0","23.3333333333333","169.333333333333","61.6666666666667","1","0","0","0"
"36","ALG","1972","5","0","22.4","173.25","64.5","1","0","0","0"
"37","ALG","1980","54","0","23.48","176.098039215686","70.4509803921569","1","0","0","0"
"38","ALG","1984","33","0","24.258064516129","176.809523809524","73.3181818181818","1.21212121212121","0","0","0.0606060606060606"
"39","ALG","1988","42","0.0476190476190476","24.9047619047619","176.564102564103","73.3846153846154","1.33333333333333","0","0","0"
"40","ALG","1992","35","0.0571428571428571","23.8571428571429","170.428571428571","63.0454545454545","1.28571428571429","0","0","0.0571428571428571"
"41","ALG","1996","45","0.133333333333333","24.3333333333333","175.142857142857","69.0333333333333","1.28888888888889","0.0444444444444444","0.0444444444444444","0.0666666666666667"
"42","ALG","2000","47","0.212765957446809","24.9148936170213","173.872340425532","67.3617021276596","1.25531914893617","0.0212765957446809","0.0212765957446809","0.106382978723404"
"43","ALG","2004","61","0.245901639344262","25.3606557377049","173.516666666667","67.1666666666667","1.49180327868852","0.0491803278688525","0.0491803278688525","0"
"44","ALG","2008","56","0.392857142857143","25.2142857142857","176.872727272727","70.6909090909091","1.48214285714286","0","0.0178571428571429","0.0357142857142857"
"45","ALG","2012","38","0.447368421052632","24.8684210526316","174.378378378378","66.8529411764706","1.36842105263158","0.0263157894736842","0.0263157894736842","0.0263157894736842"
"46","AND","1976","3","0","28.3333333333333","174.666666666667","78","1","0","0","0"
"47","AND","1980","2","0","31","180.5","85.5","1.5","0","0","0"
"48","AND","1984","2","0","35","180.5","85.5","2.5","0","0","0"
"49","AND","1988","3","0","21.6666666666667","171","65.3333333333333","1","0","0","0"
"50","AND","1992","8","0.125","23.125","171.166666666667","63.6666666666667","1.25","0","0","0"
"51","AND","1996","8","0.25","24.375","172.4","64.4","1.375","0","0","0"
"52","AND","2000","5","0.4","31","175","69.8","2","0","0","0"
